Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.sleekflow.io.txt
http,80,affiliate.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.affiliate.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.affiliate.sleekflow.io.txt
http,80,affiliates.sleekflow.io,BadStatus,/home/kali/Projects/enum/screens/screens/http.affiliates.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.affiliates.sleekflow.io.txt
http,80,apidoc.sleekflow.io,Timeout,/home/kali/Projects/enum/screens/screens/http.apidoc.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.apidoc.sleekflow.io.txt
http,80,api.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.gw.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.api.sleekflow.io.txt
http,80,api-staging.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.gw.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.api-staging.sleekflow.io.txt
http,80,app-revamp.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.staging-revamp.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.app-revamp.sleekflow.io.txt
http,80,app.sleekflow.io,Timeout,/home/kali/Projects/enum/screens/screens/http.app.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.app.sleekflow.io.txt
http,80,backup-api.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.sleekflow-core-app-eas-performance.azurewebsites.net.png,/home/kali/Projects/enum/screens/source/http.backup-api.sleekflow.io.txt
http,80,beta.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.staging-revamp.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.beta.sleekflow.io.txt
http,80,campaign.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.landing.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.campaign.sleekflow.io.txt
http,80,chat.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.sleekflow-core-app-eas-performance.azurewebsites.net.png,/home/kali/Projects/enum/screens/source/http.chat.sleekflow.io.txt
http,80,checkout.sleekflow.io,Timeout,/home/kali/Projects/enum/screens/screens/http.checkout.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.checkout.sleekflow.io.txt
http,80,click.sleekflow.io,Timeout,/home/kali/Projects/enum/screens/screens/http.click.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.click.sleekflow.io.txt
http,80,cn.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.cn.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.cn.sleekflow.io.txt
http,80,ctf-tools.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.sleekflow-core-app-eas-performance.azurewebsites.net.png,/home/kali/Projects/enum/screens/source/http.ctf-tools.sleekflow.io.txt
http,80,dev-revamp.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.dev-revamp.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.dev-revamp.sleekflow.io.txt
http,80,dev.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.dev-revamp.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.dev.sleekflow.io.txt
http,80,docs.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.docs.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.docs.sleekflow.io.txt
http,80,ebook.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.ebook.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.ebook.sleekflow.io.txt
http,80,feedbacksleekflow.azureedge.net,Successful,/home/kali/Projects/enum/screens/screens/http.feedbacksleekflow.azureedge.net.png,/home/kali/Projects/enum/screens/source/http.feedbacksleekflow.azureedge.net.txt
http,80,feedback.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.feedback.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.feedback.sleekflow.io.txt
http,80,gw.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.gw.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.gw.sleekflow.io.txt
http,80,help.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.help.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.help.sleekflow.io.txt
http,80,landing.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.landing.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.landing.sleekflow.io.txt
http,80,messaging-api.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.messaging-api.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.messaging-api.sleekflow.io.txt
http,80,next.sleekflow.io,Timeout,/home/kali/Projects/enum/screens/screens/http.next.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.next.sleekflow.io.txt
http,80,partner.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.partner.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.partner.sleekflow.io.txt
http,80,partner-uat.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.partner-uat.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.partner-uat.sleekflow.io.txt
http,80,pay-eas-dev.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.pay-uaen.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.pay-eas-dev.sleekflow.io.txt
http,80,pay-eas.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.pay-uaen.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.pay-eas.sleekflow.io.txt
http,80,pay-eas-staging.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.pay-uaen.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.pay-eas-staging.sleekflow.io.txt
http,80,pay-eus.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.pay-uaen.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.pay-eus.sleekflow.io.txt
http,80,pay-seas.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.pay-uaen.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.pay-seas.sleekflow.io.txt
http,80,pay.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.pay.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.pay.sleekflow.io.txt
http,80,pay-uaen.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.pay-uaen.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.pay-uaen.sleekflow.io.txt
http,80,pay-weu.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.pay-uaen.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.pay-weu.sleekflow.io.txt
http,80,perf-revamp.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.staging-revamp.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.perf-revamp.sleekflow.io.txt
http,80,perf.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.sleekflow-core-app-eas-performance.azurewebsites.net.png,/home/kali/Projects/enum/screens/source/http.perf.sleekflow.io.txt
http,80,phrase-marketing.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.phrase-marketing.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.phrase-marketing.sleekflow.io.txt
http,80,phrase-revamp-uat.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.phrase-revamp-uat.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.phrase-revamp-uat.sleekflow.io.txt
http,80,powerflow.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.powerflow.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.powerflow.sleekflow.io.txt
http,80,preprod-us.sleekflow.io,Successful,/home/kali/Projects/enum/screens/screens/http.preprod-us.sleekflow.io.png,/home/kali/Projects/enum/screens/source/http.preprod-us.sleekflow.io.txt
