Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
https,443,sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.www.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.sleekflow.io.txt
https,443,affiliate.sleekflow.io,BadStatus,/home/kali/Projects/enum/https_screens/screens/https.affiliate.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.affiliate.sleekflow.io.txt
https,443,affiliates.sleekflow.io,BadStatus,/home/kali/Projects/enum/https_screens/screens/https.affiliates.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.affiliates.sleekflow.io.txt
https,443,apidoc.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.apidoc.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.apidoc.sleekflow.io.txt
https,443,api.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.api.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.api.sleekflow.io.txt
https,443,api-staging.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.api.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.api-staging.sleekflow.io.txt
https,443,app-revamp.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.staging.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.app-revamp.sleekflow.io.txt
https,443,app.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.app.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.app.sleekflow.io.txt
https,443,autodiscover.sleekflow.io,BadStatus,/home/kali/Projects/enum/https_screens/screens/https.autodiscover.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.autodiscover.sleekflow.io.txt
https,443,backup-api.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.api.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.backup-api.sleekflow.io.txt
https,443,beta.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.staging.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.beta.sleekflow.io.txt
https,443,campaign.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.campaign.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.campaign.sleekflow.io.txt
https,443,chat.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.api.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.chat.sleekflow.io.txt
https,443,checkout.sleekflow.io,Timeout,/home/kali/Projects/enum/https_screens/screens/https.checkout.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.checkout.sleekflow.io.txt
https,443,click.sleekflow.io,Timeout,/home/kali/Projects/enum/https_screens/screens/https.click.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.click.sleekflow.io.txt
https,443,cn.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.staging.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.cn.sleekflow.io.txt
https,443,ctf-tools.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.api.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.ctf-tools.sleekflow.io.txt
https,443,dev-revamp.sleekflow.io,Timeout,/home/kali/Projects/enum/https_screens/screens/https.dev-revamp.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.dev-revamp.sleekflow.io.txt
https,443,dev.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.dev.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.dev.sleekflow.io.txt
https,443,docs.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.docs.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.docs.sleekflow.io.txt
https,443,ebook.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.www.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.ebook.sleekflow.io.txt
https,443,feedbacksleekflow.azureedge.net,Successful,/home/kali/Projects/enum/https_screens/screens/https.feedbacksleekflow.azureedge.net.png,/home/kali/Projects/enum/https_screens/source/https.feedbacksleekflow.azureedge.net.txt
https,443,feedback.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.feedback.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.feedback.sleekflow.io.txt
https,443,gw.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.gw.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.gw.sleekflow.io.txt
https,443,help.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.help.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.help.sleekflow.io.txt
https,443,landing.sleekflow.io,Timeout,/home/kali/Projects/enum/https_screens/screens/https.landing.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.landing.sleekflow.io.txt
https,443,messaging-api.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.messaging-api.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.messaging-api.sleekflow.io.txt
https,443,next.sleekflow.io,Timeout,/home/kali/Projects/enum/https_screens/screens/https.next.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.next.sleekflow.io.txt
https,443,partner.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.partner.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.partner.sleekflow.io.txt
https,443,partner-uat.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.partner-uat.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.partner-uat.sleekflow.io.txt
https,443,pay-eas-dev.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.pay-eas-dev.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.pay-eas-dev.sleekflow.io.txt
https,443,pay-eas.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.pay-eas-dev.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.pay-eas.sleekflow.io.txt
https,443,pay-eas-staging.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.pay-eas-dev.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.pay-eas-staging.sleekflow.io.txt
https,443,pay-eus.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.pay-eas-dev.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.pay-eus.sleekflow.io.txt
https,443,pay-seas.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.pay-eas-dev.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.pay-seas.sleekflow.io.txt
https,443,pay.sleekflow.io,BadStatus,/home/kali/Projects/enum/https_screens/screens/https.pay.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.pay.sleekflow.io.txt
https,443,pay-uaen.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.pay-eas-dev.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.pay-uaen.sleekflow.io.txt
https,443,pay-weu.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.pay-eas-dev.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.pay-weu.sleekflow.io.txt
https,443,perf-revamp.sleekflow.io,Timeout,/home/kali/Projects/enum/https_screens/screens/https.perf-revamp.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.perf-revamp.sleekflow.io.txt
https,443,perf.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.api.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.perf.sleekflow.io.txt
https,443,phrase-marketing.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.phrase-marketing.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.phrase-marketing.sleekflow.io.txt
https,443,phrase-revamp-uat.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.phrase-revamp-uat.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.phrase-revamp-uat.sleekflow.io.txt
https,443,powerflow.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.powerflow.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.powerflow.sleekflow.io.txt
https,443,preprod-us.sleekflow.io,Timeout,/home/kali/Projects/enum/https_screens/screens/https.preprod-us.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.preprod-us.sleekflow.io.txt
https,443,preview.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.api.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.preview.sleekflow.io.txt
https,443,product.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.product.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.product.sleekflow.io.txt
https,443,prospect.sleekflow.io,BadStatus,/home/kali/Projects/enum/https_screens/screens/https.prospect.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.prospect.sleekflow.io.txt
https,443,prospect-sleekflow-io.prospectrck.com,BadStatus,/home/kali/Projects/enum/https_screens/screens/https.prospect-sleekflow-io.prospectrck.com.png,/home/kali/Projects/enum/https_screens/source/https.prospect-sleekflow-io.prospectrck.com.txt
https,443,reseller.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.reseller.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.reseller.sleekflow.io.txt
https,443,sgreseller.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.reseller.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.sgreseller.sleekflow.io.txt
https,443,sleekflow-cdn-prod.azureedge.net,Timeout,/home/kali/Projects/enum/https_screens/screens/https.sleekflow-cdn-prod.azureedge.net.png,/home/kali/Projects/enum/https_screens/source/https.sleekflow-cdn-prod.azureedge.net.txt
https,443,sleekflow-core-app-eas-performance.azurewebsites.net,Successful,/home/kali/Projects/enum/https_screens/screens/https.api.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.sleekflow-core-app-eas-performance.azurewebsites.net.txt
https,443,sleekflow-core-worker-app-eas-production.azurewebsites.net,Successful,/home/kali/Projects/enum/https_screens/screens/https.api.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.sleekflow-core-worker-app-eas-production.azurewebsites.net.txt
https,443,sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.www.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.sleekflow.io.txt
https,443,sleekflow-share-tracking.azurewebsites.net,Successful,/home/kali/Projects/enum/https_screens/screens/https.pay-eas-dev.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.sleekflow-share-tracking.azurewebsites.net.txt
https,443,sleekflow-sleek-pay-app-eas-dev72229138.azurewebsites.net,Successful,/home/kali/Projects/enum/https_screens/screens/https.pay-eas-dev.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.sleekflow-sleek-pay-app-eas-dev72229138.azurewebsites.net.txt
https,443,sleekflow-sleek-pay-app-eas-production74183132.azurewebsites.net,Successful,/home/kali/Projects/enum/https_screens/screens/https.pay-eas-dev.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.sleekflow-sleek-pay-app-eas-production74183132.azurewebsites.net.txt
https,443,sleekflow-sleek-pay-app-eas-stagingbdaed46a.azurewebsites.net,Successful,/home/kali/Projects/enum/https_screens/screens/https.pay-eas-dev.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.sleekflow-sleek-pay-app-eas-stagingbdaed46a.azurewebsites.net.txt
https,443,sleekflow-sleek-pay-app-eus-production234d48b8.azurewebsites.net,Successful,/home/kali/Projects/enum/https_screens/screens/https.pay-eas-dev.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.sleekflow-sleek-pay-app-eus-production234d48b8.azurewebsites.net.txt
https,443,sleekflow-sleek-pay-app-seas-production711e69f0.azurewebsites.net,Successful,/home/kali/Projects/enum/https_screens/screens/https.pay-eas-dev.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.sleekflow-sleek-pay-app-seas-production711e69f0.azurewebsites.net.txt
https,443,sleekflow-sleek-pay-app-uaen-production4ca668ba.azurewebsites.net,Successful,/home/kali/Projects/enum/https_screens/screens/https.sleekflow-sleek-pay-app-uaen-production4ca668ba.azurewebsites.net.png,/home/kali/Projects/enum/https_screens/source/https.sleekflow-sleek-pay-app-uaen-production4ca668ba.azurewebsites.net.txt
https,443,sleekflow-sleek-pay-app-weu-production0edec8b4.azurewebsites.net,Successful,/home/kali/Projects/enum/https_screens/screens/https.sleekflow-sleek-pay-app-weu-production0edec8b4.azurewebsites.net.png,/home/kali/Projects/enum/https_screens/source/https.sleekflow-sleek-pay-app-weu-production0edec8b4.azurewebsites.net.txt
https,443,sleekflowuat.azureedge.net,Timeout,/home/kali/Projects/enum/https_screens/screens/https.sleekflowuat.azureedge.net.png,/home/kali/Projects/enum/https_screens/source/https.sleekflowuat.azureedge.net.txt
https,443,sso.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.sso.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.sso.sleekflow.io.txt
https,443,sso-staging.sleekflow.io,Timeout,/home/kali/Projects/enum/https_screens/screens/https.sso-staging.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.sso-staging.sleekflow.io.txt
https,443,staging2-revamp.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.staging2-revamp.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.staging2-revamp.sleekflow.io.txt
https,443,staging2.sleekflow.io,Timeout,/home/kali/Projects/enum/https_screens/screens/https.staging2.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.staging2.sleekflow.io.txt
https,443,staging-revamp.sleekflow.io,Timeout,/home/kali/Projects/enum/https_screens/screens/https.staging-revamp.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.staging-revamp.sleekflow.io.txt
https,443,staging.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.staging.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.staging.sleekflow.io.txt
https,443,status.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.status.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.status.sleekflow.io.txt
https,443,trial.sleekflow.io,Successful,/home/kali/Projects/enum/https_screens/screens/https.trial.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.trial.sleekflow.io.txt
https,443,uat3.sleekflow.io,Timeout,/home/kali/Projects/enum/https_screens/screens/https.uat3.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.uat3.sleekflow.io.txt
https,443,uat-dev.sleekflow.io,BadStatus,/home/kali/Projects/enum/https_screens/screens/https.uat-dev.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.uat-dev.sleekflow.io.txt
https,443,uat-revamp.sleekflow.io,Timeout,/home/kali/Projects/enum/https_screens/screens/https.uat-revamp.sleekflow.io.png,/home/kali/Projects/enum/https_screens/source/https.uat-revamp.sleekflow.io.txt
