URL,80
http://54.192.18.92,X,
http://54.192.18.82,X,
http://54.192.18.34,X,
http://54.192.18.6,X,
http://199.60.103.28,X,
http://199.60.103.228,X,
http://13.35.186.34,X,
http://13.35.186.125,X,
http://13.35.186.45,X,
http://13.35.186.89,X,
http://76.76.21.21,X,
http://13.107.246.73,X,
http://20.189.104.97,X,
http://104.19.153.19,X,
http://104.19.152.19,X,
http://66.33.60.130,X,
http://76.76.21.98,X,
http://54.230.71.46,X,
http://54.230.71.123,X,
http://54.230.71.109,X,
http://54.230.71.61,X,
http://66.33.60.66,X,
http://76.76.21.93,X,
http://104.18.24.178,X,
http://104.18.25.178,X,
http://199.60.103.28,X,
http://199.60.103.228,X,
http://161.35.235.194,X,
http://76.76.21.93,X,
http://66.33.60.66,X,
http://35.158.87.123,X,
http://13.107.246.73,X,
http://76.76.21.22,X,
http://66.33.60.129,X,
http://66.33.60.66,X,
http://76.76.21.93,X,
http://3.33.251.168,X,
http://172.64.147.209,X,
http://66.33.60.194,X,
http://76.76.21.123,X,
http://35.158.87.123,X,
http://20.189.104.97,X,
http://35.207.24.13,X,
http://76.76.21.123,X,
http://66.33.60.34,X,
http://76.76.21.93,X,
http://66.33.60.193,X,
http://15.197.225.128,X,
http://104.18.40.47,X,
http://76.76.21.142,X,
http://66.33.60.34,X,
http://66.33.60.193,X,
http://76.76.21.142,X,
http://20.205.69.84,X,
http://76.76.21.61,X,
http://76.76.21.93,X,
http://13.107.246.73,X,
http://13.226.120.5,X,
http://13.226.120.32,X,
http://13.226.120.64,X,
http://13.226.120.74,X,
http://13.107.246.73,X,
http://20.212.64.9,X,
http://15.197.149.68,X,
http://76.223.57.73,X,
http://3.33.241.96,X,
http://13.248.213.92,X,
http://13.107.246.73,X,
http://13.226.120.11,X,
http://13.226.120.42,X,
http://13.226.120.36,X,
http://13.226.120.35,X,
http://20.119.8.54,X,
http://65.52.250.96,X,
http://20.205.69.84,X,
http://66.33.60.66,X,
http://66.33.60.130,X,
http://172.64.147.209,X,
http://104.18.40.47,X,
http://104.18.2.75,X,
http://104.18.3.75,X,
http://66.33.60.130,X,
http://76.76.21.61,X,
http://13.226.61.13,X,
http://13.226.61.104,X,
http://13.226.61.94,X,
http://13.226.61.19,X,
http://13.107.246.73,X,
http://66.33.60.66,X,
http://66.33.60.67,X,
http://65.52.250.96,X,
http://13.107.246.73,X,
http://20.189.109.96,X,
http://13.75.34.176,X,
http://13.107.246.73,X,
http://20.105.224.35,X,
http://20.205.69.84,X,
http://13.35.186.65,X,
http://13.35.186.103,X,
http://13.35.186.47,X,
http://13.35.186.5,X,
http://20.119.8.54,X,
http://20.205.69.84,X,
http://13.33.183.126,X,
http://13.33.183.10,X,
http://13.33.183.107,X,
http://13.33.183.18,X,
http://20.205.69.84,X,
http://213.188.192.101,X,
http://3.33.148.61,X,
http://13.248.144.105,X,
http://13.248.241.119,X,
http://35.71.131.46,X,
http://199.60.103.28,X,
http://199.60.103.228,X,
http://40.100.55.8,X,
http://52.98.65.184,X,
http://52.98.77.120,X,
http://52.98.65.24,X,
http://20.212.64.9,X,
http://13.75.34.176,X,
http://104.19.153.19,X,
http://104.19.152.19,X,
http://66.33.60.35,X,
http://66.33.60.67,X,
http://76.76.21.241,X,
http://66.33.60.130,X,
http://76.76.21.98,X,
http://76.76.21.22,X,
http://66.33.60.67,X,
http://66.33.60.35,X,
http://13.226.61.34,X,
http://13.226.61.47,X,
http://13.226.61.51,X,
http://13.226.61.101,X,
http://172.64.152.100,X,
http://104.18.35.156,X,
http://20.205.69.84,X,
http://66.33.60.130,X,
http://66.33.60.193,X,
http://13.107.246.73,X,
http://35.158.87.123,X,
http://20.205.69.84,X,
